condition_score,vehicles,avg_price,avg_mileage
49.0,12942,22861.0,25787.0
48.0,12592,21551.0,27919.0
47.0,11253,20955.0,30787.0
46.0,12519,20482.0,31931.0
45.0,12194,19993.0,34338.0
44.0,25258,19190.0,37600.0
43.0,24739,18587.0,40477.0
42.0,24098,17921.0,43933.0
41.0,22819,17344.0,47052.0
39.0,19720,15999.0,51916.0
38.0,18467,15462.0,55251.0
37.0,25575,14881.0,57914.0
36.0,22819,14133.0,62029.0
35.0,26310,13437.0,66485.0
34.0,17069,12791.0,70743.0
33.0,10408,12252.0,73254.0
32.0,9754,11929.0,75620.0
31.0,9033,11732.0,77112.0
29.0,18485,10833.0,82203.0
28.0,18680,10290.0,85760.0
27.0,15842,9757.0,89349.0
26.0,11578,9284.0,91866.0
25.0,12141,8978.0,93348.0
24.0,9010,8482.0,95710.0
23.0,7895,8201.0,97894.0
22.0,5811,7796.0,99461.0
21.0,8783,7505.0,102350.0
19.0,39233,5336.0,117017.0
18.0,291,4971.0,109776.0
17.0,214,4428.0,109209.0
16.0,159,4800.0,113864.0
15.0,128,4267.0,116739.0
14.0,118,3532.0,113461.0
13.0,72,3646.0,102550.0
12.0,84,4267.0,123767.0
11.0,83,4707.0,116269.0
5.0,11067,24743.0,20253.0
4.0,19661,17744.0,37811.0
3.0,10370,12598.0,66235.0
2.0,17825,6442.0,103035.0
1.0,5465,5078.0,94218.0
